age,job_n,marital_n,education_n,housing_n,month_n,pdays_n,duration,cons.conf.idx
29,2,0,1,1,0,0,27,-46.2
42,3,2,1,0,1,0,256,-41.8
51,10,2,1,0,2,0,347,-42.7
36,2,0,6,1,0,0,241,-46.2
33,1,0,3,1,2,0,133,-42.7
33,2,1,6,1,8,0,308,-47.1
26,2,1,6,1,1,0,213,-40.8
35,8,1,6,0,2,0,157,-42.7
44,8,0,6,0,5,0,39,-42.0
58,5,0,4,1,5,0,191,-42.0
38,4,1,1,0,3,0,74,-36.1
22,2,1,1,1,2,0,293,-42.7
27,11,1,3,0,2,0,104,-42.7
33,2,1,2,1,0,0,72,-46.2
32,3,0,0,1,2,0,334,-42.7
28,11,1,1,1,8,0,121,-47.1
63,4,0,1,0,8,0,176,-34.6
32,8,0,4,0,0,0,65,-46.2
34,4,0,4,2,9,1,126,-37.5
53,5,2,6,1,2,0,62,-42.7
30,2,1,1,1,2,0,249,-42.7
44,8,0,6,0,3,0,107,-36.1
37,3,0,0,1,0,0,178,-46.2
75,5,0,5,0,3,0,676,-38.3
38,2,1,6,1,1,0,188,-41.8
42,8,1,0,1,5,0,100,-42.0
26,1,1,1,1,2,0,142,-42.7
34,2,0,6,1,3,0,193,-36.1
35,7,1,2,1,5,0,76,-42.0
46,9,0,0,0,0,0,232,-36.4
32,4,1,6,0,3,0,64,-36.1
53,4,0,5,0,1,0,51,-41.8
55,3,0,5,0,0,0,9,-46.2
42,2,2,1,1,0,0,99,-36.4
29,2,1,6,0,3,0,146,-36.1
53,7,0,6,2,5,0,126,-42.0
35,2,0,6,1,5,0,114,-42.0
33,3,1,3,0,0,0,285,-36.4
34,4,0,1,0,2,0,185,-42.7
48,7,0,3,1,1,0,85,-41.8
37,3,0,2,1,4,0,68,-26.9
30,4,0,4,1,3,0,254,-36.1
48,3,0,4,0,0,0,485,-36.4
37,3,0,2,1,2,0,208,-42.7
47,2,0,6,1,0,0,385,-36.4
45,3,0,7,0,0,0,1196,-36.4
45,9,3,5,1,2,0,586,-42.7
41,1,0,1,2,1,0,707,-41.8
31,6,1,6,1,0,0,294,-46.2
50,1,1,0,0,1,0,514,-41.8
35,2,0,1,0,2,0,100,-42.7
39,4,1,1,0,0,0,12,-46.2
27,4,0,4,1,0,0,289,-46.2
27,4,1,4,1,0,0,94,-46.2
39,0,0,6,0,0,0,174,-36.4
50,8,0,6,1,8,0,1463,-47.1
57,2,0,6,0,3,0,612,-36.1
42,8,0,6,1,8,0,290,-47.1
47,1,0,1,1,1,0,256,-41.8
43,7,0,1,1,2,0,745,-42.7
39,3,0,4,0,0,0,149,-46.2
58,3,0,1,0,1,0,270,-41.8
33,1,0,1,0,5,0,581,-42.0
35,4,0,4,1,1,0,160,-41.8
53,10,0,6,1,2,0,302,-42.7
50,2,0,6,0,5,0,206,-42.0
44,3,2,2,0,2,0,122,-42.7
44,2,1,6,1,8,0,395,-47.1
32,4,2,3,1,0,0,103,-46.2
39,2,0,1,1,8,0,479,-47.1
72,5,0,6,0,5,0,111,-30.1
41,2,0,1,0,1,0,56,-41.8
50,3,0,3,1,0,0,98,-36.4
34,2,0,6,1,3,0,71,-36.1
56,5,2,1,1,2,0,11,-42.7
38,2,2,1,0,0,0,326,-46.2
29,3,1,1,0,1,0,203,-41.8
36,2,0,4,1,3,0,56,-36.1
48,3,0,2,1,0,0,544,-36.4
48,3,0,3,1,0,0,723,-36.4
29,11,1,1,0,0,8,104,-40.0
32,1,0,1,1,0,0,76,-46.2
37,3,0,1,0,0,0,26,-36.4
40,1,0,1,1,0,0,151,-46.2
28,6,1,6,0,0,0,376,-36.4
54,3,0,3,0,0,0,158,-46.2
24,2,1,6,0,0,0,220,-46.2
37,3,0,2,0,0,0,75,-46.2
79,5,0,3,0,0,0,126,-40.0
34,3,0,0,1,1,0,426,-41.8
36,2,0,6,1,3,0,120,-36.1
38,4,1,4,1,5,0,68,-42.0
74,5,2,0,0,8,15,184,-34.6
31,1,0,1,0,1,0,62,-41.8
34,3,0,0,0,0,0,611,-36.4
36,8,1,2,0,0,0,180,-36.4
48,2,2,1,0,0,0,62,-36.4
43,5,0,3,1,2,0,284,-42.7
34,1,0,4,1,0,0,101,-46.2
56,6,0,0,1,2,0,122,-42.7
44,6,0,6,1,5,0,114,-42.0
23,3,1,3,0,2,0,246,-42.7
57,2,0,6,1,5,0,181,-42.0
48,6,0,6,1,1,0,1025,-41.8
40,2,1,4,0,1,0,36,-41.8
47,3,0,2,1,3,0,167,-36.1
35,2,1,1,0,2,0,86,-42.7
41,2,0,6,0,9,0,133,-29.8
28,4,1,6,0,0,0,166,-46.2
28,6,1,6,1,1,0,169,-39.8
35,3,0,2,0,5,0,86,-42.0
48,4,0,4,0,2,0,77,-42.7
45,2,0,6,0,1,0,281,-41.8
46,3,0,2,1,0,0,217,-36.4
24,1,1,5,0,7,0,103,-50.0
30,3,1,5,1,0,0,251,-36.4
30,8,0,6,1,2,0,148,-42.7
37,3,0,3,0,0,0,291,-36.4
38,9,2,1,1,0,0,73,-36.4
21,11,1,1,0,1,0,400,-40.8
44,2,0,1,1,0,0,150,-46.2
33,4,0,6,1,3,0,316,-36.1
52,4,2,6,0,0,0,99,-36.4
36,4,0,6,0,3,0,62,-36.1
56,3,0,0,0,2,0,36,-42.7
38,2,3,6,0,8,0,517,-47.1
35,1,1,1,1,7,0,187,-34.8
51,2,2,6,0,3,0,88,-36.1
39,1,0,1,0,0,0,383,-46.2
34,3,0,0,0,5,0,105,-42.0
36,8,1,6,0,2,0,84,-42.7
30,2,0,6,1,3,0,136,-36.1
40,3,0,1,0,2,0,405,-42.7
24,8,1,4,1,2,0,61,-42.7
38,10,0,3,0,0,0,104,-36.4
39,2,2,6,1,3,0,180,-36.1
39,3,0,0,0,0,0,332,-36.4
36,3,0,2,1,5,0,70,-42.0
40,3,0,3,1,0,0,308,-46.2
31,2,0,6,0,0,0,176,-46.2
35,3,0,0,1,8,0,98,-47.1
31,4,1,6,1,0,0,136,-46.2
37,2,1,6,0,5,0,623,-42.0
31,6,0,1,0,2,0,1272,-42.7
37,3,0,1,1,0,0,71,-46.2
49,0,0,0,0,0,0,801,-36.4
28,4,0,4,1,0,0,80,-36.4
37,1,0,1,1,0,0,130,-46.2
27,8,1,6,0,3,0,241,-31.4
41,3,1,0,1,0,0,426,-46.2
34,3,1,3,0,1,0,159,-41.8
27,4,1,6,0,1,0,97,-41.8
43,6,0,6,1,8,0,21,-47.1
31,1,0,2,0,0,0,2087,-36.4
31,4,1,1,1,3,0,79,-36.1
32,2,0,6,1,5,0,41,-42.0
35,9,0,3,0,1,0,612,-41.8
34,2,1,6,1,0,0,593,-36.4
52,4,0,1,1,0,0,106,-36.4
56,1,0,1,1,0,0,520,-46.2
55,0,0,4,0,1,0,394,-41.8
30,8,0,6,1,2,0,311,-42.7
54,3,0,3,1,2,0,150,-42.7
37,8,0,4,1,0,0,80,-36.4
31,3,0,2,1,5,0,65,-30.1
42,1,0,4,0,1,0,24,-41.8
34,8,1,6,1,8,0,118,-47.1
28,2,0,1,2,0,0,430,-46.2
33,8,1,0,1,0,0,742,-36.4
59,3,0,3,0,0,0,668,-36.4
58,3,0,3,1,4,0,92,-26.9
23,2,1,6,0,8,0,341,-47.1
40,3,2,3,2,1,0,104,-41.8
48,1,0,1,0,0,0,97,-46.2
39,2,0,6,0,0,0,614,-46.2
76,5,0,4,1,1,3,352,-39.8
35,3,1,5,0,1,0,136,-41.8
33,3,0,4,1,0,0,669,-46.2
35,2,0,1,0,2,0,213,-42.7
29,4,1,6,0,0,0,68,-46.2
21,11,1,1,0,1,0,24,-41.8
32,4,0,6,0,3,0,226,-36.1
37,1,0,3,1,0,0,211,-46.2
56,10,0,5,1,1,0,536,-41.8
36,6,0,6,0,0,0,272,-46.2
43,0,0,0,2,0,0,201,-36.4
52,2,2,6,0,2,0,216,-42.7
32,6,1,6,1,8,0,333,-47.1
55,2,0,4,1,3,0,348,-36.1
37,3,0,0,0,2,0,147,-42.7
56,5,0,5,0,3,0,115,-36.1
32,2,1,6,1,3,0,65,-36.1
30,4,1,1,1,3,0,276,-36.1
49,2,2,3,1,2,0,70,-42.7
31,4,0,4,0,3,0,63,-36.1
38,2,0,6,1,1,0,43,-41.8
32,1,0,3,0,2,0,491,-42.7
40,0,1,6,1,1,0,253,-41.8
52,3,0,0,1,2,0,85,-42.7
32,1,1,1,0,2,0,185,-42.7
37,1,0,3,0,2,0,126,-42.7
51,6,0,6,0,1,0,13,-41.8
42,2,0,1,1,0,0,453,-36.4
45,3,0,3,1,8,0,244,-47.1
53,4,0,1,1,3,0,169,-36.1
52,8,0,0,1,0,0,228,-36.4
24,3,0,3,1,0,0,194,-36.4
39,4,1,4,1,8,0,226,-47.1
41,4,2,0,0,1,0,639,-41.8
40,3,2,3,0,1,0,1259,-41.8
37,3,0,3,0,1,0,124,-41.8
42,3,0,2,0,1,0,292,-41.8
36,10,0,6,0,2,0,164,-42.7
32,4,0,4,1,2,0,255,-42.7
55,3,0,0,0,3,0,188,-36.1
29,2,1,6,1,0,0,33,-36.4
29,3,0,0,1,0,0,140,-46.2
32,8,0,6,1,5,0,70,-42.0
39,3,2,3,1,0,0,76,-46.2
43,4,0,6,0,3,0,160,-31.4
49,8,0,1,0,0,0,309,-46.2
37,2,1,6,1,5,0,844,-42.0
32,2,1,6,1,3,0,12,-36.1
31,4,1,6,1,0,0,14,-46.2
53,3,0,3,0,0,0,130,-36.4
56,6,0,6,0,0,0,92,-36.4
51,6,0,6,0,3,0,159,-36.1
32,6,0,6,1,5,0,15,-42.0
30,4,1,4,0,3,0,216,-36.1
37,4,2,4,0,3,0,780,-36.1
58,5,0,0,0,8,0,266,-47.1
38,4,1,4,1,0,0,166,-36.4
44,2,0,1,1,0,0,177,-36.4
30,4,1,4,0,1,0,19,-41.8
46,1,0,1,0,2,0,306,-42.7
30,2,1,6,0,8,0,368,-47.1
30,1,0,1,1,0,0,296,-46.2
32,3,1,1,1,5,0,108,-42.0
47,2,0,6,0,3,0,384,-36.1
50,2,0,1,0,1,0,219,-41.8
43,2,0,6,0,8,0,104,-47.1
43,2,1,1,1,0,0,159,-46.2
47,11,1,5,2,5,0,145,-42.0
38,3,1,5,0,0,0,70,-36.4
31,3,0,4,0,2,0,255,-42.7
25,2,0,1,1,2,0,29,-40.3
31,3,1,1,0,0,0,153,-46.2
25,11,1,6,0,1,0,280,-40.8
80,5,2,0,0,2,1,169,-40.3
27,4,1,6,0,3,2,103,-31.4
48,1,2,1,1,8,0,108,-47.1
68,5,2,0,1,7,11,277,-34.8
58,5,0,1,1,3,0,35,-36.1
26,3,1,3,0,2,0,77,-42.7
34,4,0,1,1,5,0,116,-42.0
46,3,0,5,0,0,0,50,-36.4
49,2,0,6,0,3,0,958,-36.1
34,2,0,6,1,1,0,31,-41.8
33,1,0,3,1,0,0,861,-36.4
39,8,0,4,1,2,0,339,-42.7
38,2,0,6,0,9,0,79,-37.5
34,3,0,0,0,5,0,120,-42.0
52,6,2,6,1,5,0,89,-42.0
35,2,1,6,0,0,0,174,-46.2
58,3,1,0,0,0,0,304,-46.2
39,2,0,6,0,0,0,583,-36.4
31,2,1,6,1,3,0,202,-36.1
54,8,0,6,1,3,0,148,-36.1
39,2,1,1,0,2,0,9,-42.7
25,3,1,0,0,1,0,107,-41.8
30,2,2,6,1,3,0,35,-36.1
52,2,0,4,0,9,0,953,-37.5
32,6,0,6,1,3,0,343,-36.1
32,3,0,2,0,1,0,642,-41.8
27,3,0,0,1,2,0,66,-42.7
24,6,1,6,1,0,0,45,-46.2
43,3,0,2,1,0,0,393,-46.2
40,3,0,5,0,0,0,337,-36.4
43,2,0,1,1,0,0,360,-36.4
51,2,2,6,1,2,0,438,-42.7
31,3,0,3,0,2,0,111,-42.7
54,0,0,6,1,3,0,297,-36.1
29,3,0,2,0,0,0,102,-46.2
48,2,0,1,1,2,0,182,-42.7
39,3,0,3,1,8,0,120,-47.1
23,3,1,1,0,2,0,251,-42.7
47,1,0,1,1,1,0,55,-41.8
57,8,0,4,1,2,0,1056,-42.7
30,1,0,6,1,0,0,51,-36.4
50,3,0,3,0,0,0,43,-36.4
32,4,1,6,1,3,0,96,-31.4
58,2,0,6,1,3,0,328,-36.1
41,4,1,6,1,2,0,184,-42.7
36,2,2,6,0,2,0,39,-42.7
55,2,0,4,1,3,0,482,-36.1
43,2,0,5,1,2,0,51,-42.7
35,4,0,4,0,2,0,80,-42.7
50,10,0,1,1,8,0,257,-47.1
46,6,0,3,1,0,0,16,-40.0
30,2,1,1,0,2,0,68,-42.7
26,11,1,1,0,0,0,852,-36.4
40,10,0,3,0,5,0,40,-42.0
32,3,0,3,0,1,0,78,-41.8
26,2,1,6,1,0,0,77,-46.2
34,2,0,6,0,2,0,51,-33.6
40,4,0,6,1,0,0,133,-46.2
33,4,0,1,0,2,0,176,-42.7
48,3,0,2,0,3,0,85,-36.1
36,4,0,6,0,1,0,1093,-41.8
32,2,0,6,1,3,0,131,-31.4
31,1,0,1,1,0,0,183,-36.4
36,4,0,4,1,8,12,266,-47.1
56,5,0,0,0,2,0,121,-42.7
31,3,1,1,0,2,0,42,-42.7
43,2,0,6,0,3,0,116,-36.1
33,1,0,3,1,2,0,163,-42.7
51,6,0,3,0,2,0,71,-42.7
31,1,1,1,0,0,0,1298,-46.2
38,11,1,6,2,1,0,23,-41.8
32,3,0,3,1,0,0,114,-46.2
36,3,1,3,0,1,0,145,-41.8
